"TimeStamp","Host","Uptime","HashRate"
"2018-05-19 11:30:11","m01","662.48","4729.3"
"2018-05-19 12:00:11","m01","662.98","4733"
"2018-05-19 12:30:11","m01","663.48","4638.8"
"2018-05-19 13:00:11","m01","663.98","4732.9"
"2018-05-19 13:30:11","m01","664.48","4719.2"
"2018-05-19 14:00:11","m01","664.98","4732.7"
"2018-05-19 14:30:11","m01","665.48","4729.7"
"2018-05-19 15:00:11","m01","665.98","4626.8"
"2018-05-19 15:30:10","m01","666.48","4725.1"
"2018-05-19 16:00:11","m01","666.98","4734.5"
"2018-05-19 16:30:11","m01","667.48","4729.9"
"2018-05-19 17:00:11","m01","667.98","4723.8"
"2018-05-19 17:30:11","m01","668.48","4730.2"
"2018-05-19 18:00:11","m01","668.98","4717.6"
"2018-05-19 18:30:11","m01","669.48","4730.6"
"2018-05-19 19:00:11","m01","669.98","4715"
"2018-05-19 19:30:10","m01","670.48","4723"
"2018-05-19 20:00:11","m01","670.98","4729"
"2018-05-19 20:30:11","m01","671.48","4719"
"2018-05-19 21:00:11","m01","671.98","4726.3"
"2018-05-19 21:30:11","m01","672.48","4731.2"
"2018-05-19 22:00:11","m01","672.98","4727.9"
"2018-05-19 22:30:11","m01","673.48","4725.6"
"2018-05-19 23:00:11","m01","673.98","4728.8"
"2018-05-19 23:30:10","m01","674.48","4676.9"
"2018-05-20 00:00:11","m01","674.98","4716.4"
"2018-05-20 00:30:11","m01","675.48","4729.9"
"2018-05-20 01:00:10","m01","675.98","4729.4"
"2018-05-20 01:30:09","m01","676.48","4730"
"2018-05-20 02:00:11","m01","676.98","4735.1"
"2018-05-20 02:30:11","m01","677.48","4696.3"
"2018-05-20 03:00:11","m01","677.98","4730.5"
"2018-05-20 03:30:11","m01","678.48","4719.2"
"2018-05-20 04:00:11","m01","678.98","4731.7"
"2018-05-20 04:30:11","m01","679.48","4722.4"
"2018-05-20 05:00:11","m01","679.98","4690.1"
"2018-05-20 05:30:10","m01","680.48","4720.1"
"2018-05-20 06:00:11","m01","680.98","4723.5"
"2018-05-20 06:30:11","m01","681.48","4699.7"
"2018-05-20 07:00:11","m01","681.98","4690.9"
"2018-05-20 07:30:11","m01","682.48","4725.2"
"2018-05-20 08:00:11","m01","682.98","4730.3"
"2018-05-20 08:30:09","m01","683.48","4731.1"
"2018-05-20 09:00:11","m01","683.98","4729.1"
"2018-05-20 09:30:11","m01","684.48","4729"
"2018-05-20 10:00:11","m01","684.98","4728.6"
"2018-05-20 10:30:11","m01","685.48","4729.4"
"2018-05-20 11:00:11","m01","685.98","4727.3"
"2018-05-20 11:30:11","m01","686.48","4724.3"
"2018-05-20 12:00:11","m01","686.98","4730.5"
