"TimeStamp","Host","Uptime","HashRate","Freq","T_max","ASIC","T_1","ASIC_1_Status","ASIC_1","T_2","ASIC_2_Status","ASIC_2","T_3","ASIC_3_Status","ASIC_3","T_4","ASIC_4_Status","ASIC_4","Fan_1","Fan_2"
"2018-06-23 16:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 17:00:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 17:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 18:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 18:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 19:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 19:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 20:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 20:30:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 21:00:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 21:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 22:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 22:30:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 23:00:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 23:30:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-24 00:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-24 00:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-24 01:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-24 01:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-24 02:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-24 02:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-24 03:00:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-24 03:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-24 04:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-24 04:30:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-24 05:00:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-24 05:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-24 06:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-24 06:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-24 07:00:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-24 07:30:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
